Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,
09/20/2021T05:00:1632128405Z,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Jean Smart,Mare of Easttown,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,Rams,La Palma volcano,Chelsea,49ers vs Eagles,Rich Paul,
09/20/2021T06:00:1632132006Z,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Mare of Easttown,Grand Teton National Park,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,La Palma volcano,Hacks,Chelsea,49ers vs Eagles,I May Destroy You,
09/20/2021T07:00:1632135606Z,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Mare of Easttown,Tua Tagovailoa,Saints,Manchester United,PSG,Georgia football,Rams,Jean Smart,La Palma volcano,Chelsea,Gaby Petito,Rich Paul,
09/20/2021T08:00:1632139205Z,Elizabeth Olsen,Gabby Petito,Emmys 2021,Dallas Cowboys,Tampa Bay Buccaneers,Ravens,Chicago Bears,Raiders,Browns,Jean Smart,Mare of Easttown,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,Grand Teton National Park,Rams,La Palma volcano,Chelsea,
09/20/2021T09:00:1632142805Z,Elizabeth Olsen,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Jean Smart,Gabby Petito update,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,La Palma volcano,Kate Winslet,Chelsea,Rich Paul,
09/20/2021T10:00:1632146405Z,Elizabeth Olsen,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Evan Peters,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,Rams,La Palma volcano,Hacks,Chelsea,Rich Paul,
09/20/2021T11:00:1632150006Z,Elizabeth Olsen,iOS 15,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Jean Smart,Evan Peters,Saints,Manchester United,Tua Tagovailoa,PSG,Georgia football,La Palma volcano,Rams,Chelsea,
09/20/2021T12:00:1632153606Z,Elizabeth Olsen,iOS 15,Gabby Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Raiders,Chicago Bears,Browns,Jean Smart,Saints,Tua Tagovailoa,Manchester United,PSG,La Palma volcano,Petito,Georgia football,Evan Peters,Rams,
09/20/2021T13:00:1632157206Z,Elizabeth Olsen,iOS 15,Conan O'Brien,Ordinary Joe,Gabby) Petito,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Jean Smart,Mare of Easttown,Tua Tagovailoa,Saints,Manchester United,La Palma volcano,PSG,Georgia football,
09/20/2021T14:00:1632160806Z,iOS 15 release date,Elizabeth Olsen,Conan O'Brien,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Mare of Easttown,Jean Smart,Saints,Tua Tagovailoa,La Palma volcano,PSG,Manchester United,Rams,Georgia football,Chelsea,
09/20/2021T15:00:1632164406Z,iOS 15 release date,AJ Johnson comedian,Elizabeth Olsen,Conan O'Brien,Ordinary Joe,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Raiders,Chicago Bears,Browns,Mare of Easttown,Tua Tagovailoa,Saints,Manchester United,Jean Smart,PSG,Rams,Georgia football,
09/20/2021T16:00:1632168006Z,AJ Johnson,iOS 15 release date,Elizabeth Olsen,Conan O'Brien,Olivia Colman,Ordinary Joe,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Browns,Mare of Easttown,Tua Tagovailoa,La Palma volcano,Saints,Manchester United,PSG,Rams,
09/20/2021T17:00:1632171606Z,AJ Johnson,iOS 15 release date,Elizabeth Olsen,Conan O'Brien,Emma Corrin,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Raiders,Chicago Bears,Browns,Mare of Easttown,La Palma volcano,Saints,Tua Tagovailoa,Manchester United,PSG,Hacks,Rams,
09/20/2021T18:00:1632175206Z,AJ Johnson,iOS 15 release date,Elizabeth Olsen,Kaley Cuoco,Conan O'Brien,Jeannie Mai,Ordinary Joe,Heritage High School,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Raiders,Chicago Bears,Browns,Mare of Easttown,Tua Tagovailoa,Evergrande,La Palma volcano,Saints,
09/20/2021T19:00:1632178806Z,AJ Johnson,iOS 15 release date,Elizabeth Olsen,Jeannie Mai,Heritage High School,Kaley Cuoco,Diontae Johnson,Conan O'Brien,Ordinary Joe,Emma Corrin,The Queen's Gambit,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Mare of Easttown,Browns,Evergrande,
09/20/2021T20:00:1632182406Z,AJ Johnson,iOS 15,Elizabeth Olsen,Jeannie Mai,Heritage High School,Kaley Cuoco,S&P 500,Diontae Johnson,Conan O'Brien,Halloween Kills,Ordinary Joe,Gabby Petito story,Emmys 2021,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Chicago Bears,Raiders,Mare of Easttown,Browns,
09/20/2021T21:00:1632186006Z,A.J. Johnson,iOS 15,Jeannie Mai,Elizabeth Olsen,Heritage High School,Barcelona,S&P 500,Kaley Cuoco,Conan O'Brien,Diontae Johnson,Halloween Kills,Ordinary Joe,SPY,Gabby Petito,Ted Lasso,Dallas Cowboys,Ravens,Tampa Bay Buccaneers,Seahawks,Raiders,
09/20/2021T22:00:1632189606Z,AJ Johnson,iOS 15,Conan O'Brien,Heritage High School,Barcelona,Elizabeth Olsen,Kaley Cuoco,Halloween Kills,Ordinary Joe,FC Barcelona,SPY,The Queen's Gambit,Christina Haack,Fall equinox 2021,Gabby Petito,Ted Lasso,Dallas Cowboys,Tampa Bay Buccaneers,Chiefs vs Ravens,Seahawks,
09/20/2021T23:00:1632193206Z,AJ Johnson,iOS 15,Heritage High School,Barcelona,Conan O'Brien,Elizabeth Olsen,Kaley Cuoco,Diontae Johnson,Halloween Kills,Ordinary Joe,Emma Corrin,Dancing with the Stars' 2021,FC Barcelona,SPY,Christina Haack,The Queen's Gambit,Fall equinox 2021,Gabby Petito,Ted Lasso,Dallas Cowboys,
09/21/2021T00:00:1632196807Z,AJ Johnson,iOS 15,Heritage High School,Barcelona,Jeannie Mai,Conan O'Brien,Elizabeth Olsen,Kaley Cuoco,Amelia Hamlin,Diontae Johnson,Dancing With the Stars 2021,Halloween Kills,Ordinary Joe,Christina Haack,FC Barcelona,SPY,The Voice,The Queen's Gambit,Sukkot,Rita Wilson,
09/21/2021T01:00:1632200406Z,AJ Johnson,iOS 15,Heritage High School,Barcelona,Jeannie Mai,Conan O'Brien,Elizabeth Olsen,Kaley Cuoco,Amelia Hamlin,Diontae Johnson,Dancing With the Stars 2021,Halloween Kills,Ordinary Joe,Christina Haack,FC Barcelona,SPY,The Voice,The Queen's Gambit,Sukkot,Rita Wilson,
